gamescoremean,fps,nupdates,total_timesteps,serial_timesteps,time_elapsed,approxkl,v_mix_ev,gamelenmean,clipfrac,entropy,v_ex_ev
9.28,283,1,2048,2048,7.235506296157837,0.0,-0.34133148193359375,9.28,0.0,0.0,-0.04530978202819824
9.3,302,2,4096,4096,14.007262468338013,0.0,0.4206744432449341,9.3,0.0,0.0,0.8773167207837105
9.48,312,3,6144,6144,20.556469440460205,0.0,0.7153675258159637,9.48,0.0,0.0,0.8526953160762787
9.34,310,4,8192,8192,27.152875185012817,0.0,0.8781361728906631,9.34,0.0,0.0,0.9004317224025726
9.37,309,5,10240,10240,33.781264543533325,0.0,0.9336218386888504,9.37,0.0,0.0,0.9407486468553543
9.47,316,6,12288,12288,40.252265214920044,0.0,0.9573711566627026,9.47,0.0,0.0,0.9615796804428101
9.43,316,7,14336,14336,46.73048424720764,0.0,0.9710972271859646,9.43,0.0,0.0,0.9725722875446081
9.32,313,8,16384,16384,53.2662398815155,0.0,0.9766875300556421,9.32,0.0,0.0,0.9763341769576073
9.43,306,9,18432,18432,59.95266795158386,0.0,0.9780177399516106,9.43,0.0,0.0,0.9788566306233406
9.36,314,10,20480,20480,66.4700813293457,0.0,0.9814559798687696,9.36,0.0,0.0,0.9839515425264835
9.31,311,11,22528,22528,73.05374717712402,0.0,0.981815867125988,9.31,0.0,0.0,0.9862191891297698
9.34,309,12,24576,24576,79.66114497184753,0.0,0.9823854472488165,9.34,0.0,0.0,0.9886392280459404
9.39,313,13,26624,26624,86.20246624946594,0.0,0.9830105900764465,9.39,0.0,0.0,0.9888396803289652
9.41,310,14,28672,28672,92.794438123703,0.0,0.9834527112543583,9.41,0.0,0.0,0.9877655161544681
9.28,313,15,30720,30720,99.32761716842651,0.0,0.982850294560194,9.28,0.0,0.0,0.9885993301868439
9.49,313,16,32768,32768,105.85285472869873,0.0,0.9839756563305855,9.49,0.0,0.0,0.989159157499671
9.35,312,17,34816,34816,112.4151840209961,0.0,0.9817216731607914,9.35,0.0,0.0,0.9894312527030706
9.26,315,18,36864,36864,118.91330146789551,0.0,0.9834556635469198,9.26,0.0,0.0,0.9908208204433322
9.33,309,19,38912,38912,125.52847123146057,0.0,0.9816472996026278,9.33,0.0,0.0,0.9887951128184795
9.49,314,20,40960,40960,132.03767609596252,0.0,0.9832617398351431,9.49,0.0,0.0,0.9900475954636931
9.37,313,21,43008,43008,138.56292033195496,0.0,0.9851629827171564,9.37,0.0,0.0,0.9900635210797191
9.31,309,22,45056,45056,145.1823446750641,0.0,0.9837972782552242,9.31,0.0,0.0,0.9899542657658458
9.45,311,23,47104,47104,151.75785064697266,0.0,0.9850018220022321,9.45,0.0,0.0,0.9913936657831073
9.39,311,24,49152,49152,158.33310079574585,0.0,0.9849268887192011,9.39,0.0,0.0,0.9912722771987319
9.3,312,25,51200,51200,164.88498735427856,0.0,0.9822922814637423,9.3,0.0,0.0,0.9902083752676845
9.35,308,26,53248,53248,171.51915764808655,0.0,0.9824013188481331,9.35,0.0,0.0,0.9912110259756446
9.45,309,27,55296,55296,178.13231897354126,0.0,0.9827409088611603,9.45,0.0,0.0,0.9904439989477396
9.38,312,28,57344,57344,184.67856335639954,0.0,0.9845091737806797,9.38,0.0,0.0,0.9912936873733997
9.43,312,29,59392,59392,191.2360236644745,0.0,0.9837658293545246,9.43,0.0,0.0,0.9923001625575125
9.4,311,30,61440,61440,197.81560349464417,0.0,0.9818663112819195,9.4,0.0,0.0,0.9893379360437393
9.29,310,31,63488,63488,204.4216079711914,0.0,0.9841493926942348,9.29,0.0,0.0,0.9912590198218822
