#{"t_start": 1620827303.8721921, "env_id": "HalfCheetahPyBulletEnv-v0"}
r,l,t
-9.443619,22,2.869022
-10.446258,18,2.931344
-17.983714,37,3.048104
-9.810486,14,3.09053
-13.674178,23,3.159972
-0.552124,17,3.211179
-10.326628,17,3.26267
-3.487907,15,3.307962
-14.892704,20,3.367697
-3.02006,17,3.418648
-4.549718,17,3.469576
-1.314953,17,3.520625
-5.585747,14,3.562645
-12.445746,20,3.622122
-17.61948,29,3.708434
-0.636229,14,3.750218
-11.764196,18,3.804231
-9.663745,19,3.862138
-4.69458,16,3.910292
-8.045521,17,3.962116
-1.812088,15,4.007182
-3.37443,19,4.064591
-6.516772,25,4.139546
-1.817261,16,4.187633
-9.3607,14,4.22989
-8.013731,18,4.283929
-12.008099,18,4.338012
-9.743255,13,4.377067
-5.779049,18,4.431769
-4.763672,21,4.494408
-5.040283,17,4.545808
-11.847954,16,4.59372
-4.091199,15,4.639456
-2.590049,19,4.696572
1.244862,23,4.766962
-9.5887,26,4.844963
-9.633187,18,4.89893
-4.742083,16,4.946802
-5.59885,16,4.994945
-6.499914,17,5.046106
-9.614206,17,5.097352
-7.286954,14,5.140047
-7.685468,16,5.18796
-15.970893,18,5.24153
-12.621202,24,5.314791
-8.10561,15,5.359958
-1.905128,15,5.405025
-10.002239,16,5.453049
-6.664573,16,5.50109
-1.62088,17,5.552233
-10.288118,16,5.600436
-5.248476,23,5.669985
5.110308,17,5.721127
-3.181994,29,5.808127
-1.913307,14,5.850816
-3.297542,15,5.897228
-2.508339,15,5.944381
-8.424433,22,6.013951
-15.501946,15,6.059331
-3.602503,16,6.107472
-4.619807,16,6.156142
-11.339031,18,6.210248
-7.610179,14,6.252828
-3.855679,26,6.331315
-8.554701,15,6.376882
-11.074318,18,6.431351
-13.456894,16,6.481374
-14.52752,17,6.533403
-6.25687,17,6.588532
-4.81124,11,6.625304
-1.052873,18,6.682519
-4.802998,16,6.732799
-2.865396,17,6.788339
-10.137421,16,6.836974
-8.068914,18,6.892313
-5.747866,15,6.939489
-11.655225,16,6.988055
-4.223293,14,7.031317
-4.225662,14,7.073966
-2.626575,16,7.123719
-8.169312,21,7.187876
-15.292563,14,7.232359
-13.02372,19,7.289997
-10.711985,17,7.340983
-8.205073,15,7.386148
-9.828936,14,7.4284
-12.539712,18,7.482821
-7.368344,16,7.531148
-7.283812,13,7.570443
-10.406909,18,7.624812
-10.808229,18,7.678891
-2.69481,16,7.72709
-9.100145,16,7.775852
-8.423581,18,7.831214
-3.932274,16,7.881564
1.796136,18,7.936087
-11.286736,18,7.992003
-18.64843,24,8.064411
-11.972206,15,8.10996
-2.048783,16,8.16029
-9.762757,13,8.19996
-5.282985,15,8.246511
-18.958854,20,8.307037
-7.634452,14,8.349241
-7.250556,15,8.395035
-10.405216,14,8.439269
-12.870135,18,8.493976
-4.355639,18,8.548982
-8.873232,17,8.601965
-2.749783,17,8.654007
-1.030094,18,8.709893
-9.483791,28,8.795453
-15.385511,17,8.846625
-3.961511,18,8.900939
-11.284232,13,8.940418
-7.008954,15,8.985941
-7.365257,28,12.594897
2.981978,17,12.649456
-5.570038,14,12.693603
-0.920834,16,12.744039
-15.405711,18,12.80109
-1.88094,17,12.854123
-12.923982,25,12.933175
-3.261196,16,12.983051
-5.1854,22,13.052796
-15.239801,21,13.118448
-5.239358,13,13.159146
-8.864028,24,13.23403
-1.41623,18,13.289669
-3.125473,17,13.341103
-1.778831,17,13.39255
-12.263329,14,13.435042
-5.436568,17,13.486599
-9.767562,16,13.535538
-12.15801,14,13.577976
-7.535767,15,13.6235
-8.184867,18,13.677996
-12.217557,17,13.729204
-6.219133,15,13.774791
-0.307378,20,13.835092
-4.116023,17,13.886444
-4.097384,17,13.937954
-6.845626,13,13.977712
-10.781127,17,14.029147
-4.534291,17,14.080682
-0.456746,17,14.132079
-5.385482,16,14.180425
-5.377987,17,14.231942
-8.71834,15,14.27759
-7.232323,19,14.334925
-3.475929,17,14.386598
-10.02523,13,14.42595
-3.741631,19,14.483554
-5.447068,15,14.529335
-3.562691,20,14.589769
-2.266541,17,14.641881
-10.403888,17,14.694633
-12.942106,16,14.744309
-6.086864,14,14.788114
-6.53433,15,14.835034
-9.718364,13,14.87567
-16.343597,21,14.945971
-4.793133,16,14.998188
-1.513627,18,15.055968
-12.84393,17,15.109973
-10.895507,17,15.164749
-1.233936,19,15.226085
-5.470733,18,15.285243
-7.857393,16,15.336345
-4.309807,14,15.381159
-15.643758,22,15.451241
-8.651089,17,15.505487
-10.706316,16,15.556729
-3.903055,18,15.614223
-3.327322,13,15.656074
-9.203153,18,15.713701
-11.648686,18,15.771178
-7.889849,14,15.815978
-3.314626,18,15.873554
-7.30603,20,15.937478
-4.572832,19,15.998509
-6.409621,16,16.049576
-3.404006,14,16.094388
-3.185063,17,16.148689
-10.635563,16,16.199873
-5.589791,15,16.24826
-6.145343,26,16.331922
-0.401037,26,16.417289
-5.414875,13,16.460908
-4.382239,17,16.516792
-16.027535,23,16.592211
0.028053,17,16.648599
-4.95148,19,16.711688
-0.939186,18,16.774634
-3.751983,20,16.842646
-3.525826,18,16.901679
-5.633171,21,16.968802
-3.48393,19,17.029639
-5.762146,16,17.081664
-8.52664,16,17.132905
-3.347685,13,17.174407
-7.46197,18,17.232863
-8.096726,17,17.287243
-8.811687,18,17.345281
-15.40747,16,17.396428
-5.377837,14,17.443159
-7.405676,15,17.492035
-14.513877,18,17.552155
-7.797949,16,17.603697
-8.378155,16,17.655595
-12.476424,17,17.710469
-2.633929,16,17.762342
-10.399251,20,17.827594
-11.099882,18,17.885669
-3.099646,18,17.943457
-5.656172,17,17.998248
0.583644,17,18.052786
-11.36196,14,18.097579
-14.908308,19,18.158414
-15.618111,17,18.212991
-10.593345,16,18.264332
-2.8714,14,18.309547
-1.33449,15,18.357719
-12.499382,17,18.412728
-9.847518,16,18.464418
-2.962053,16,18.516287
-10.212864,23,18.590539
-9.568473,15,18.639283
-6.564969,15,18.687702
-7.22578,18,18.745869
-0.628919,16,18.797735
-3.666332,14,18.842948
-0.499971,16,18.894406
-2.257552,17,18.949005
-3.36422,16,19.000543
-1.956833,17,19.055184
-9.621064,16,22.188173
-5.823828,18,22.246031
-7.923436,15,22.293463
-4.803101,14,22.353621
-4.52673,17,22.420343
-14.72587,15,22.471282
-10.958959,16,22.523008
-6.542506,18,22.582061
8.158583,26,22.665867
-8.485343,14,22.711111
-11.444275,17,22.765031
-11.856594,16,22.816856
-11.863738,13,22.858254
-0.594578,17,22.913659
-8.3562,17,22.967581
-4.184256,17,23.021617
-2.708499,17,23.075316
-9.013372,14,23.120536
-10.135019,24,23.196539
-5.461788,13,23.239017
-7.89611,17,23.292568
-5.714941,23,23.36245
-19.634947,17,23.414057
-5.871953,15,23.460081
-3.287556,16,23.508647
-8.032986,13,23.549438
-5.321248,21,23.613596
-24.376384,24,23.714235
-2.585252,15,23.778565
-3.470718,19,23.847878
-1.471647,26,23.93334
1.700585,25,24.010467
-3.392093,26,24.08912
-11.371718,17,24.141398
-3.109384,15,24.186823
-5.395843,20,24.247244
-3.981918,14,24.289798
-1.523618,18,24.344657
1.826937,18,24.399837
-11.811493,16,24.44885
-1.412318,16,24.498461
-1.384265,18,24.555147
-6.999131,13,24.595713
-5.982655,15,24.6433
-3.277182,21,24.708125
-1.0223,18,24.76404
0.345751,16,24.814702
