nupdates,serial_timesteps,clipfrac,v_mix_ev,time_elapsed,gamelenmean,gamescoremean,total_timesteps,approxkl,fps,v_ex_ev,entropy
1,2048,0.25,-0.10712110996246338,10.080231189727783,17.18,-7.4383754699999995,2048,0.01731805130839348,203,-0.917382001876831,8.519775390625
2,4096,0.234375,0.16528218984603882,19.672837495803833,17.02,-6.675718389999999,4096,0.011905169114470482,213,-1.3175599575042725,8.49720573425293
3,6144,0.21875,0.3480892777442932,29.444450855255127,17.67,-5.28763602,6144,0.015554978512227535,209,-0.2806427478790283,8.48853874206543
4,8192,0.25,0.361863374710083,39.39224672317505,17.83,-4.30106906,8192,0.017049647867679596,205,-0.11413788795471191,8.456413269042969
5,10240,0.171875,0.3407318592071533,48.74857687950134,18.62,-5.543479469999999,10240,0.012720104306936264,218,-0.08727788925170898,8.40509033203125
6,12288,0.328125,0.26466721296310425,58.481738328933716,19.03,-3.7685864000000002,12288,0.020166542381048203,210,0.0018428564071655273,8.327152252197266
7,14336,0.3125,0.4871219992637634,67.9862539768219,19.01,-2.4448278500000002,14336,0.02845507115125656,215,0.005997598171234131,8.274953842163086
8,16384,0.21875,0.5004529356956482,77.36785411834717,20.18,-1.7185391900000002,16384,0.015858229249715805,218,0.0774584412574768,8.207649230957031
9,18432,0.234375,0.49015963077545166,86.69457149505615,20.28,-0.4159941199999999,18432,0.014210713095963001,219,0.05471920967102051,8.141106605529785
10,20480,0.296875,0.4598914384841919,96.07878398895264,22.49,1.41711281,20480,0.017103493213653564,218,0.19170820713043213,8.083824157714844
11,22528,0.28125,0.5093897879123688,105.46808910369873,23.35,2.6523344000000004,22528,0.018392419442534447,218,0.3209710717201233,7.990699291229248
12,24576,0.328125,0.5741426348686218,114.98200249671936,24.2,2.8929458200000004,24576,0.019936271011829376,215,0.3850410580635071,7.881120681762695
13,26624,0.25,0.5676703751087189,124.79730701446533,25.5,4.18058053,26624,0.014441723003983498,208,0.48621898889541626,7.801884174346924
14,28672,0.234375,0.6431425213813782,134.43499183654785,27.24,7.063678619999999,28672,0.016601987183094025,212,0.5073825120925903,7.728334426879883
15,30720,0.21875,0.6349518895149231,144.31536507606506,29.77,10.16171521,30720,0.013263612985610962,207,0.5840205550193787,7.645722389221191
16,32768,0.125,0.6270362436771393,154.1570737361908,29.94,12.19518126,32768,0.011445854790508747,208,0.5740138292312622,7.599059104919434
17,34816,0.296875,0.7003951668739319,163.96388483047485,32.42,14.67797555,34816,0.02053692936897278,208,0.6267458498477936,7.542001247406006
18,36864,0.265625,0.702674001455307,173.9514617919922,34.29,15.643846659999998,36864,0.014271466061472893,205,0.6570075154304504,7.4441142082214355
